AveragePrice,Total Volume,type,year,region
1.14,369916.29,conventional,2017,SouthCarolina
1.15,352660.2,conventional,2017,SouthCarolina
1.0,402162.87,conventional,2017,SouthCarolina
1.39,641462.43,conventional,2018,Boston
1.38,602177.43,conventional,2018,Boston
1.34,629090.87,conventional,2018,Boston
1.19,785188.72,conventional,2018,Boston
1.41,527274.99,conventional,2018,Boston
1.51,515022.94,conventional,2018,Boston
1.3,834304.52,conventional,2018,Boston
1.39,725934.21,conventional,2018,Boston
1.22,800274.4,conventional,2018,Boston
1.12,999783.13,conventional,2018,Boston
1.49,533150.49,conventional,2018,Boston
1.28,685417.51,conventional,2018,Boston
1.36,908202.13,conventional,2018,Chicago
1.42,841171.24,conventional,2018,Chicago
1.54,830421.03,conventional,2018,Chicago
1.53,820728.47,conventional,2018,Chicago
1.51,794925.31,conventional,2018,Chicago
1.53,736317.26,conventional,2018,Chicago
1.39,897178.36,conventional,2018,Chicago
0.88,1802646.35,conventional,2018,Chicago
1.36,947968.47,conventional,2018,Chicago
1.42,951648.11,conventional,2018,Chicago
1.64,762997.53,conventional,2018,Chicago
1.5,842141.42,conventional,2018,Chicago
1.19,450658.34,conventional,2018,SouthCarolina
1.06,542846.79,conventional,2018,SouthCarolina
1.13,482065.76,conventional,2018,SouthCarolina
1.16,457398.25,conventional,2018,SouthCarolina
1.25,405689.01,conventional,2018,SouthCarolina
1.2,396970.44,conventional,2018,SouthCarolina
1.05,452805.55,conventional,2018,SouthCarolina
0.96,678235.27,conventional,2018,SouthCarolina
1.22,435490.6,conventional,2018,SouthCarolina
1.1,506254.11,conventional,2018,SouthCarolina
1.24,423919.68,conventional,2018,SouthCarolina
1.19,402919.29,conventional,2018,SouthCarolina
1.48,7986.08,organic,2015,Boston
1.41,7939.48,organic,2015,Boston
1.55,8563.97,organic,2015,Boston
1.29,8286.37,organic,2015,Boston
1.28,6869.81,organic,2015,Boston
1.27,7668.48,organic,2015,Boston
1.15,8779.47,organic,2015,Boston
1.22,7507.69,organic,2015,Boston
1.3,7166.04,organic,2015,Boston
1.27,8471.24,organic,2015,Boston
1.26,6986.04,organic,2015,Boston
1.26,7698.58,organic,2015,Boston
1.28,8186.26,organic,2015,Boston
2.0,2023.36,organic,2015,Boston
2.01,2623.42,organic,2015,Boston
2.0,3283.74,organic,2015,Boston
1.97,3343.86,organic,2015,Boston
2.03,2633.6,organic,2015,Boston
2.0,3080.47,organic,2015,Boston
2.09,2694.61,organic,2015,Boston
2.02,2955.27,organic,2015,Boston
2.12,3357.29,organic,2015,Boston
2.02,3367.46,organic,2015,Boston
2.05,3388.25,organic,2015,Boston
2.19,2763.5,organic,2015,Boston
2.13,3135.77,organic,2015,Boston
2.03,3045.1,organic,2015,Boston
2.06,2662.63,organic,2015,Boston
2.03,2943.18,organic,2015,Boston
2.0,3641.0,organic,2015,Boston
1.94,4235.93,organic,2015,Boston
1.94,3507.89,organic,2015,Boston
1.91,4366.74,organic,2015,Boston
2.02,3428.91,organic,2015,Boston
1.82,4123.17,organic,2015,Boston
1.86,3517.6,organic,2015,Boston
1.94,2696.21,organic,2015,Boston
1.86,3619.27,organic,2015,Boston
1.91,3202.71,organic,2015,Boston
1.98,2121.96,organic,2015,Boston
1.94,2763.26,organic,2015,Boston
1.99,1965.57,organic,2015,Boston
1.91,2566.9,organic,2015,Boston
1.85,3024.12,organic,2015,Boston
1.74,3325.89,organic,2015,Boston
1.91,2271.95,organic,2015,Boston
1.91,3098.29,organic,2015,Boston
1.78,2943.85,organic,2015,Boston
2.01,1948.28,organic,2015,Boston
2.0,2209.34,organic,2015,Boston
1.94,2217.82,organic,2015,Boston
1.83,2192.13,organic,2015,Boston
1.58,20995.37,organic,2015,Chicago
1.58,22452.3,organic,2015,Chicago
1.59,24059.71,organic,2015,Chicago
1.59,27081.13,organic,2015,Chicago
1.59,22168.32,organic,2015,Chicago
1.57,24095.66,organic,2015,Chicago
1.58,25759.36,organic,2015,Chicago
1.59,26247.16,organic,2015,Chicago
1.6,24450.48,organic,2015,Chicago
1.61,22648.93,organic,2015,Chicago
1.79,19818.98,organic,2015,Chicago
1.69,19520.71,organic,2015,Chicago
1.78,20398.64,organic,2015,Chicago
1.67,24311.76,organic,2015,Chicago
1.6,26935.23,organic,2015,Chicago
1.61,27327.18,organic,2015,Chicago
1.61,28269.21,organic,2015,Chicago
1.6,30663.55,organic,2015,Chicago
1.61,31623.52,organic,2015,Chicago
1.62,29458.3,organic,2015,Chicago
1.62,28253.94,organic,2015,Chicago
1.59,27490.93,organic,2015,Chicago
1.62,26098.32,organic,2015,Chicago
1.65,19677.2,organic,2015,Chicago
1.66,18945.72,organic,2015,Chicago
1.67,19704.96,organic,2015,Chicago
1.68,18877.36,organic,2015,Chicago
1.82,16136.49,organic,2015,Chicago
1.87,18374.82,organic,2015,Chicago
1.85,19636.24,organic,2015,Chicago
1.85,18625.81,organic,2015,Chicago
1.86,20871.17,organic,2015,Chicago
1.57,24727.46,organic,2015,Chicago
1.47,27146.38,organic,2015,Chicago
1.51,27210.49,organic,2015,Chicago
1.51,31932.1,organic,2015,Chicago
1.55,27489.48,organic,2015,Chicago
1.3,88346.47,organic,2015,Chicago
1.65,21064.17,organic,2015,Chicago
1.66,15545.06,organic,2015,Chicago
1.67,16076.52,organic,2015,Chicago
1.64,15001.33,organic,2015,Chicago
1.62,16545.05,organic,2015,Chicago
1.82,11842.47,organic,2015,Chicago
1.83,10235.09,organic,2015,Chicago
1.81,10575.65,organic,2015,Chicago
1.78,9910.84,organic,2015,Chicago
1.52,14391.05,organic,2015,Chicago
1.83,10951.51,organic,2015,Chicago
1.81,12499.87,organic,2015,Chicago
1.79,12915.74,organic,2015,Chicago
1.49,17723.17,organic,2015,Chicago
1.71,3617.71,organic,2015,SouthCarolina
1.77,3240.71,organic,2015,SouthCarolina
1.74,3893.76,organic,2015,SouthCarolina
1.73,3775.9,organic,2015,SouthCarolina
1.71,3543.38,organic,2015,SouthCarolina
1.89,3128.95,organic,2015,SouthCarolina
1.82,3595.26,organic,2015,SouthCarolina
1.74,4719.1,organic,2015,SouthCarolina
1.75,4052.15,organic,2015,SouthCarolina
1.77,4663.44,organic,2015,SouthCarolina
1.84,4333.43,organic,2015,SouthCarolina
1.79,4198.66,organic,2015,SouthCarolina
1.96,3776.95,organic,2015,SouthCarolina
2.06,2725.27,organic,2015,SouthCarolina
1.91,3850.51,organic,2015,SouthCarolina
1.98,3338.53,organic,2015,SouthCarolina
2.0,4032.41,organic,2015,SouthCarolina
1.92,4295.83,organic,2015,SouthCarolina
1.91,4907.1,organic,2015,SouthCarolina
1.97,4371.78,organic,2015,SouthCarolina
2.0,3813.54,organic,2015,SouthCarolina
1.94,3856.28,organic,2015,SouthCarolina
1.81,3851.22,organic,2015,SouthCarolina
1.79,4076.63,organic,2015,SouthCarolina
1.84,4614.82,organic,2015,SouthCarolina
1.84,3840.59,organic,2015,SouthCarolina
1.9,3772.87,organic,2015,SouthCarolina
2.07,3191.86,organic,2015,SouthCarolina
1.99,3921.5,organic,2015,SouthCarolina
1.95,3556.7,organic,2015,SouthCarolina
2.02,3405.9,organic,2015,SouthCarolina
1.99,3812.69,organic,2015,SouthCarolina
1.44,5434.12,organic,2015,SouthCarolina
1.87,3783.3,organic,2015,SouthCarolina
1.92,3336.76,organic,2015,SouthCarolina
2.02,3545.7,organic,2015,SouthCarolina
1.87,4376.04,organic,2015,SouthCarolina
1.94,4030.76,organic,2015,SouthCarolina
1.97,3601.21,organic,2015,SouthCarolina
1.93,3194.76,organic,2015,SouthCarolina
1.77,4156.05,organic,2015,SouthCarolina
1.5,5224.18,organic,2015,SouthCarolina
1.53,4954.18,organic,2015,SouthCarolina
1.52,4830.76,organic,2015,SouthCarolina
1.69,3614.76,organic,2015,SouthCarolina
1.72,3363.2,organic,2015,SouthCarolina
1.56,6072.82,organic,2015,SouthCarolina
1.66,3977.03,organic,2015,SouthCarolina
2.01,2865.92,organic,2015,SouthCarolina
1.93,3024.32,organic,2015,SouthCarolina
2.06,2304.3,organic,2015,SouthCarolina
1.86,3351.76,organic,2015,SouthCarolina
1.98,11553.3,organic,2016,Boston
2.0,11811.4,organic,2016,Boston
1.88,13714.62,organic,2016,Boston
2.0,13905.77,organic,2016,Boston
1.94,9786.33,organic,2016,Boston
1.8,11287.83,organic,2016,Boston
1.59,9660.96,organic,2016,Boston
1.72,9755.42,organic,2016,Boston
1.49,8408.0,organic,2016,Boston
1.32,8153.98,organic,2016,Boston
1.43,8760.34,organic,2016,Boston
1.57,10417.82,organic,2016,Boston
1.63,11208.26,organic,2016,Boston
1.72,13904.53,organic,2016,Boston
1.86,18371.82,organic,2016,Boston
1.84,16980.59,organic,2016,Boston
1.73,14518.0,organic,2016,Boston
1.36,8395.34,organic,2016,Boston
1.28,11414.48,organic,2016,Boston
1.23,7117.91,organic,2016,Boston
1.31,9580.49,organic,2016,Boston
1.14,7313.26,organic,2016,Boston
1.49,9837.59,organic,2016,Boston
1.77,14776.98,organic,2016,Boston
1.59,12513.05,organic,2016,Boston
1.61,14709.87,organic,2016,Boston
1.6,12442.73,organic,2016,Boston
1.53,11590.31,organic,2016,Boston
1.37,10051.16,organic,2016,Boston
1.49,12722.85,organic,2016,Boston
1.59,12652.15,organic,2016,Boston
1.57,18030.82,organic,2016,Boston
1.58,14776.15,organic,2016,Boston
1.58,15589.8,organic,2016,Boston
1.79,18536.65,organic,2016,Boston
1.73,18656.87,organic,2016,Boston
1.59,12779.06,organic,2016,Boston
1.68,14563.78,organic,2016,Boston
1.73,12763.11,organic,2016,Boston
1.59,13143.32,organic,2016,Boston
1.59,11665.94,organic,2016,Boston
1.59,10556.46,organic,2016,Boston
1.7,10200.05,organic,2016,Boston
1.64,11259.09,organic,2016,Boston
1.52,9394.21,organic,2016,Boston
1.59,9526.6,organic,2016,Boston
1.62,9462.0,organic,2016,Boston
1.52,8221.86,organic,2016,Boston
1.46,8850.23,organic,2016,Boston
1.13,9327.19,organic,2016,Boston
1.32,7751.94,organic,2016,Boston
1.26,7629.12,organic,2016,Boston
1.34,33412.35,organic,2016,Chicago
1.34,40115.97,organic,2016,Chicago
1.32,54112.89,organic,2016,Chicago
1.71,35156.8,organic,2016,Chicago
2.3,20020.98,organic,2016,Chicago
2.3,24924.61,organic,2016,Chicago
2.25,28482.64,organic,2016,Chicago
2.24,28818.87,organic,2016,Chicago
2.23,32607.37,organic,2016,Chicago
2.2,28740.94,organic,2016,Chicago
2.11,30428.53,organic,2016,Chicago
2.04,26995.26,organic,2016,Chicago
2.05,27147.49,organic,2016,Chicago
2.05,26730.61,organic,2016,Chicago
2.06,21876.53,organic,2016,Chicago
2.07,30146.46,organic,2016,Chicago
2.08,29892.84,organic,2016,Chicago
2.09,27637.06,organic,2016,Chicago
2.08,31252.62,organic,2016,Chicago
2.09,27655.2,organic,2016,Chicago
2.13,26720.39,organic,2016,Chicago
2.11,28969.34,organic,2016,Chicago
1.93,24894.83,organic,2016,Chicago
1.89,26249.13,organic,2016,Chicago
2.01,12651.27,organic,2016,Chicago
1.5,15807.19,organic,2016,Chicago
1.8,27771.37,organic,2016,Chicago
1.53,37650.61,organic,2016,Chicago
1.53,40535.05,organic,2016,Chicago
1.24,42580.14,organic,2016,Chicago
1.08,65325.69,organic,2016,Chicago
1.33,45768.24,organic,2016,Chicago
1.61,32454.82,organic,2016,Chicago
1.62,34200.94,organic,2016,Chicago
1.61,31458.63,organic,2016,Chicago
1.63,35192.95,organic,2016,Chicago
1.55,25405.66,organic,2016,Chicago
1.68,35474.03,organic,2016,Chicago
1.66,35602.29,organic,2016,Chicago
1.5,35086.33,organic,2016,Chicago
1.5,32456.45,organic,2016,Chicago
1.5,29584.31,organic,2016,Chicago
1.49,36774.58,organic,2016,Chicago
1.6,34164.85,organic,2016,Chicago
1.55,32492.15,organic,2016,Chicago
1.58,28656.64,organic,2016,Chicago
1.6,31000.01,organic,2016,Chicago
1.61,28813.36,organic,2016,Chicago
1.62,25004.87,organic,2016,Chicago
1.52,25573.57,organic,2016,Chicago
1.62,35835.37,organic,2016,Chicago
1.62,24460.46,organic,2016,Chicago
1.59,6491.55,organic,2016,SouthCarolina
1.5,7408.4,organic,2016,SouthCarolina
1.49,7688.78,organic,2016,SouthCarolina
1.69,7030.03,organic,2016,SouthCarolina
1.77,7063.85,organic,2016,SouthCarolina
1.7,10629.43,organic,2016,SouthCarolina
1.73,10613.01,organic,2016,SouthCarolina
1.67,10649.94,organic,2016,SouthCarolina
1.73,8600.52,organic,2016,SouthCarolina
1.4,11386.72,organic,2016,SouthCarolina
1.55,9365.29,organic,2016,SouthCarolina
1.6,8734.25,organic,2016,SouthCarolina
1.87,8341.95,organic,2016,SouthCarolina
1.81,7733.79,organic,2016,SouthCarolina
1.66,9465.99,organic,2016,SouthCarolina
1.6,12458.37,organic,2016,SouthCarolina
1.6,11353.45,organic,2016,SouthCarolina
1.51,12471.57,organic,2016,SouthCarolina
1.6,12593.77,organic,2016,SouthCarolina
1.61,13377.37,organic,2016,SouthCarolina
1.42,15987.24,organic,2016,SouthCarolina
1.58,12518.72,organic,2016,SouthCarolina
1.58,11277.34,organic,2016,SouthCarolina
1.32,13916.21,organic,2016,SouthCarolina
1.35,11611.02,organic,2016,SouthCarolina
1.23,11068.68,organic,2016,SouthCarolina
1.24,12445.56,organic,2016,SouthCarolina
1.21,8957.97,organic,2016,SouthCarolina
1.31,9826.29,organic,2016,SouthCarolina
1.31,10467.48,organic,2016,SouthCarolina
1.41,9383.7,organic,2016,SouthCarolina
1.45,9809.46,organic,2016,SouthCarolina
1.48,9990.1,organic,2016,SouthCarolina
1.55,6899.7,organic,2016,SouthCarolina
1.44,8528.01,organic,2016,SouthCarolina
1.49,9294.82,organic,2016,SouthCarolina
1.47,8123.8,organic,2016,SouthCarolina
1.34,8212.07,organic,2016,SouthCarolina
1.37,7335.37,organic,2016,SouthCarolina
1.41,7001.06,organic,2016,SouthCarolina
1.36,7098.91,organic,2016,SouthCarolina
1.45,6135.77,organic,2016,SouthCarolina
1.56,5255.59,organic,2016,SouthCarolina
1.67,4454.16,organic,2016,SouthCarolina
1.58,4752.84,organic,2016,SouthCarolina
1.55,4901.72,organic,2016,SouthCarolina
1.61,4661.03,organic,2016,SouthCarolina
1.54,5545.65,organic,2016,SouthCarolina
1.5,5939.18,organic,2016,SouthCarolina
1.66,4600.84,organic,2016,SouthCarolina
1.6,6107.02,organic,2016,SouthCarolina
1.58,5893.4,organic,2016,SouthCarolina
1.86,25275.08,organic,2017,Boston
1.83,25639.14,organic,2017,Boston
1.82,24904.99,organic,2017,Boston
1.74,26314.71,organic,2017,Boston
1.88,21338.43,organic,2017,Boston
1.81,21588.38,organic,2017,Boston
1.81,26149.55,organic,2017,Boston
1.87,26148.28,organic,2017,Boston
1.95,28626.61,organic,2017,Boston
1.83,34011.21,organic,2017,Boston
1.58,34913.38,organic,2017,Boston
1.6,37877.39,organic,2017,Boston
1.56,30044.2,organic,2017,Boston
1.61,26718.67,organic,2017,Boston
1.56,31132.88,organic,2017,Boston
1.56,31066.35,organic,2017,Boston
1.74,25480.22,organic,2017,Boston
1.76,22577.26,organic,2017,Boston
1.75,22339.0,organic,2017,Boston
1.72,22954.83,organic,2017,Boston
1.77,18946.53,organic,2017,Boston
1.61,22037.86,organic,2017,Boston
1.61,23890.76,organic,2017,Boston
1.59,28957.04,organic,2017,Boston
1.61,25501.3,organic,2017,Boston
2.17,20152.69,organic,2017,Boston
2.13,19686.52,organic,2017,Boston
2.13,22051.39,organic,2017,Boston
2.12,23277.63,organic,2017,Boston
2.07,20437.87,organic,2017,Boston
2.04,22924.67,organic,2017,Boston
2.04,20860.14,organic,2017,Boston
1.92,22165.79,organic,2017,Boston
1.99,21115.24,organic,2017,Boston
1.98,21056.26,organic,2017,Boston
2.02,17863.55,organic,2017,Boston
1.88,17773.38,organic,2017,Boston
2.0,17641.48,organic,2017,Boston
2.0,17032.99,organic,2017,Boston
2.0,16320.74,organic,2017,Boston
2.02,17307.58,organic,2017,Boston
2.06,18134.67,organic,2017,Boston
2.09,18294.75,organic,2017,Boston
1.72,19270.33,organic,2017,Boston
2.01,14572.36,organic,2017,Boston
2.06,16177.04,organic,2017,Boston
1.95,17727.36,organic,2017,Boston
1.63,22249.09,organic,2017,Boston
1.9,15270.59,organic,2017,Boston
1.93,15417.31,organic,2017,Boston
1.88,17012.28,organic,2017,Boston
1.95,17555.2,organic,2017,Boston
2.06,13438.22,organic,2017,Boston
1.79,26040.03,organic,2017,Chicago
1.81,32444.19,organic,2017,Chicago
1.39,44435.16,organic,2017,Chicago
1.65,40734.03,organic,2017,Chicago
1.75,32233.21,organic,2017,Chicago
1.73,28513.37,organic,2017,Chicago
1.79,27898.67,organic,2017,Chicago
2.06,32924.34,organic,2017,Chicago
1.95,41108.47,organic,2017,Chicago
2.06,35333.89,organic,2017,Chicago
2.1,33775.92,organic,2017,Chicago
1.9,42271.67,organic,2017,Chicago
1.8,44054.7,organic,2017,Chicago
1.84,31903.97,organic,2017,Chicago
1.92,33346.53,organic,2017,Chicago
2.13,28047.95,organic,2017,Chicago
1.96,26481.45,organic,2017,Chicago
2.05,20131.27,organic,2017,Chicago
2.11,26530.32,organic,2017,Chicago
1.71,13896.65,organic,2017,Chicago
1.69,17452.06,organic,2017,Chicago
1.74,13741.86,organic,2017,Chicago
1.9,39043.11,organic,2017,Chicago
1.88,36591.27,organic,2017,Chicago
1.83,43700.57,organic,2017,Chicago
1.99,34529.39,organic,2017,Chicago
1.98,34696.48,organic,2017,Chicago
1.98,34223.93,organic,2017,Chicago
1.98,36015.84,organic,2017,Chicago
1.96,44859.81,organic,2017,Chicago
1.94,46993.63,organic,2017,Chicago
1.93,48877.42,organic,2017,Chicago
1.94,44591.86,organic,2017,Chicago
1.93,40490.25,organic,2017,Chicago
1.95,42798.67,organic,2017,Chicago
1.97,46274.23,organic,2017,Chicago
1.67,50574.88,organic,2017,Chicago
1.74,68194.97,organic,2017,Chicago
1.95,57024.53,organic,2017,Chicago
1.94,56046.88,organic,2017,Chicago
1.67,48330.46,organic,2017,Chicago
1.68,45989.07,organic,2017,Chicago
1.93,33185.31,organic,2017,Chicago
1.64,47884.05,organic,2017,Chicago
1.69,46602.16,organic,2017,Chicago
1.6,36645.7,organic,2017,Chicago
1.53,35870.49,organic,2017,Chicago
1.49,42439.11,organic,2017,Chicago
1.51,44735.4,organic,2017,Chicago
1.51,47561.03,organic,2017,Chicago
1.85,38542.5,organic,2017,Chicago
1.81,28099.34,organic,2017,Chicago
1.34,36915.87,organic,2017,Chicago
1.36,16505.2,organic,2017,SouthCarolina
1.48,12762.43,organic,2017,SouthCarolina
1.44,13189.97,organic,2017,SouthCarolina
1.42,13083.41,organic,2017,SouthCarolina
1.49,12670.32,organic,2017,SouthCarolina
1.54,12659.93,organic,2017,SouthCarolina
1.56,12562.5,organic,2017,SouthCarolina
1.64,14375.75,organic,2017,SouthCarolina
1.68,13736.56,organic,2017,SouthCarolina
1.69,15261.11,organic,2017,SouthCarolina
1.7,15014.96,organic,2017,SouthCarolina
1.78,15150.22,organic,2017,SouthCarolina
2.04,14402.07,organic,2017,SouthCarolina
2.15,12921.65,organic,2017,SouthCarolina
2.1,14716.18,organic,2017,SouthCarolina
2.21,11850.68,organic,2017,SouthCarolina
2.02,14718.3,organic,2017,SouthCarolina
2.11,14334.93,organic,2017,SouthCarolina
2.03,14071.97,organic,2017,SouthCarolina
1.88,14864.18,organic,2017,SouthCarolina
1.78,13678.65,organic,2017,SouthCarolina
1.74,11964.74,organic,2017,SouthCarolina
1.57,14475.54,organic,2017,SouthCarolina
1.81,12851.13,organic,2017,SouthCarolina
1.83,12087.77,organic,2017,SouthCarolina
1.76,14990.91,organic,2017,SouthCarolina
1.82,14824.81,organic,2017,SouthCarolina
1.67,17275.62,organic,2017,SouthCarolina
1.72,13816.79,organic,2017,SouthCarolina
1.61,14897.51,organic,2017,SouthCarolina
1.89,9543.8,organic,2017,SouthCarolina
1.97,8937.3,organic,2017,SouthCarolina
1.86,8777.8,organic,2017,SouthCarolina
1.91,7927.37,organic,2017,SouthCarolina
1.8,7048.36,organic,2017,SouthCarolina
1.87,7072.22,organic,2017,SouthCarolina
1.97,6587.58,organic,2017,SouthCarolina
1.69,7761.81,organic,2017,SouthCarolina
1.4,12281.48,organic,2017,SouthCarolina
1.5,10286.24,organic,2017,SouthCarolina
1.7,7812.03,organic,2017,SouthCarolina
1.34,8769.05,organic,2017,SouthCarolina
1.38,11551.46,organic,2017,SouthCarolina
0.99,17212.92,organic,2017,SouthCarolina
1.13,14902.59,organic,2017,SouthCarolina
1.4,11183.49,organic,2017,SouthCarolina
1.38,9862.15,organic,2017,SouthCarolina
1.45,9116.85,organic,2017,SouthCarolina
1.43,9208.26,organic,2017,SouthCarolina
1.44,8519.07,organic,2017,SouthCarolina
1.45,9692.83,organic,2017,SouthCarolina
1.48,9552.09,organic,2017,SouthCarolina
1.67,6866.1,organic,2017,SouthCarolina
1.74,38441.23,organic,2018,Boston
1.83,34809.9,organic,2018,Boston
1.85,30476.66,organic,2018,Boston
1.92,23890.64,organic,2018,Boston
1.79,31567.3,organic,2018,Boston
1.83,27960.77,organic,2018,Boston
1.85,24728.12,organic,2018,Boston
1.83,28934.01,organic,2018,Boston
1.72,30846.35,organic,2018,Boston
1.82,26704.98,organic,2018,Boston
1.73,29468.36,organic,2018,Boston
1.91,30096.0,organic,2018,Boston
1.69,35088.36,organic,2018,Chicago
1.66,35542.17,organic,2018,Chicago
1.66,41969.83,organic,2018,Chicago
1.62,46026.58,organic,2018,Chicago
1.68,36432.65,organic,2018,Chicago
1.66,33678.58,organic,2018,Chicago
1.65,38202.17,organic,2018,Chicago
1.62,46956.84,organic,2018,Chicago
1.72,40770.94,organic,2018,Chicago
1.82,36688.67,organic,2018,Chicago
1.79,44955.89,organic,2018,Chicago
1.83,41573.25,organic,2018,Chicago
1.38,16025.2,organic,2018,SouthCarolina
1.35,16296.42,organic,2018,SouthCarolina
1.36,17561.89,organic,2018,SouthCarolina
1.44,16468.01,organic,2018,SouthCarolina
1.41,17191.34,organic,2018,SouthCarolina
1.43,15443.91,organic,2018,SouthCarolina
1.47,14289.52,organic,2018,SouthCarolina
1.42,16666.13,organic,2018,SouthCarolina
1.46,14938.24,organic,2018,SouthCarolina
1.4,17566.45,organic,2018,SouthCarolina
1.31,18678.63,organic,2018,SouthCarolina
1.26,19702.51,organic,2018,SouthCarolina
